2402:3a80:940::	44	38266
2600:9000:109d::	48	16509
2a00:e700::	32	29608
2a0a:1f43::	32	33387
2607:fd90::	32	14717
2001:1a11:7c::	48	42298
2407:8c00:ffe1::	48	131317
2620:1ec:5::	48	8068
2a01:9700:1024::	47	8376
2402:ef23::	32	7633
2620:149:220::	46	714
2804:2108:ff00::	40	264528
2a06:8780::	32	50629
2604:ca00:108::	48	36492
2001:579:9100::	41	22773
2606:b400:8004::	48	792
2607:f170:130::	44	6364
2c0f:fa10::	32	30844
2001:579:c190::	46	22773
2a01:8840:2c::	48	12041
2001:550:9f01::	48	174
2604:fb80:f00a::	48	15128
2001:e48:44:100e::	64	9583
2a10:2a00:29::	48	207588
2400:c700:280::	48	55644
2600:1006:1120::	44	22394
2a06:e540::	29	203600
2804:7f7::	35	10429
2001:67c:27ec::	48	50304
2a02:26f0:f4::	48	20940
2a0e:1a00::	29	206894
2408:8344::	30	4837
2a00:1828::	32	34240
2607:f8f0:6a0::	48	55185
2604:d600:1039::	48	32098
2402:ef01:1::	48	9430
2a02:2e02:9e60::	44	12479
2a01:c50f:c300::	42	12479
2001:298::	32	9600
2001:1938:0:8008::	64	34305
2001:579:191c::	46	22773
2401:4900:3a66::	48	45609
2a01:9700:1730::	46	8376
2405:9800:f000::	48	45458
2804:2d8::	32	52532
2001:19f0:9400::	38	20473
2a0a:11c0::	29	43129
2801:80::	48	28646
2600:1417:f:180::	64	16625
2604:2d80:5000::	41	30036
2a0b:4d00:7::	48	44239
2a01:ce83:9000::	36	51964
2a0f:4400::	29	48305
2804:544:e000::	35	262505
2a03:afe0::	29	198203
2a0f:de00::	29	208253
2607:fc50:4000::	41	36236
2a01:111:202d::	48	8068
2a01:a0a0::	48	35501
2001:4430:6830::	45	17853
2405:6e00:e20::	43	133612
2a02:cb43:8000::	48	20546
2606:2800:20c::	48	15133
2404:ae00:13::	48	45474
2408:84f3:f000::	47	17622
2001:df6:2800::	48	136639
2804:b0::	32	22431
2401:4900:3381::	48	45609
2001:1248:84d4::	48	11172
2605:3400:8000::	33	15267
2a02:d9c0::	29	3188
2001:4490:3414::	46	9829
2600:380:5a00::	41	20057
2404:63c0:e000::	48	131645
2804:1478::	33	263332
2406:daa0:8088::	46	16509
2a09:a4c3::	32	208861
2001:579:be01::	48	22773
2620:115:d::	48	18888
2607:7e80::	33	395354
2001:4430:d01c::	47	17853
2001:67c:530::	48	42295
2001:579:4114::	46	22773
2a0e:e6c0:2000::	36	51579
2a02:2e02:21a0::	44	12479
2a02:2e02:8f60::	44	12479
2a04:4e42:202c::	48	54113
2a00:1908:e965::	48	50475
2405:f600:11::	48	45117
2804:278c::	32	263908
2c0f:f9b8:3::	48	37674
2605:a401:8139::	48	33363
2a01:7e01::	32	63949
2804:e94:6c0::	45	262468
2600:1010:a010::	44	22394
2408:8256:3486::	48	17623
2a02:2d20:1::	48	202096
2001:4490:4e6c::	46	9829
2803:7420:8000::	34	265826
2600:1417:4::	48	20940
