"1.6.0.0","1.7.255.255","17170432","17301503","IN","India"
"1.8.0.0","1.8.255.255","17301504","17367039","CN","China"
"1.9.0.0","1.9.255.255","17367040","17432575","MY","Malaysia"
"1.10.0.0","1.10.9.255","17432576","17435135","CN","China"
"1.10.10.0","1.10.10.255","17435136","17435391","AU","Australia"
"1.10.11.0","1.10.127.255","17435392","17465343","CN","China"
"1.10.128.0","1.10.255.255","17465344","17498111","TH","Thailand"
"1.11.0.0","1.11.255.255","17498112","17563647","KR","Korea, Republic of"
"1.12.0.0","1.15.255.255","17563648","17825791","CN","China"
"1.16.0.0","1.19.255.255","17825792","18087935","KR","Korea, Republic of"
"1.20.0.0","1.20.255.255","18087936","18153471","TH","Thailand"
"1.21.0.0","1.21.255.255","18153472","18219007","JP","Japan"
"1.22.0.0","1.23.255.255","18219008","18350079","IN","India"
"1.24.0.0","1.31.255.255","18350080","18874367","CN","China"
"1.32.0.0","1.32.127.255","18874368","18907135","MY","Malaysia"
